AdditionalInformation,QuestionStem,Answer,A,B,C,D,E,F,G
"系统软件是指控制和协调计算机及外部设备,支持应用软件开发和运行的系统，是无需用户干预的各种程序的集合，主要功能是调度，监控和维护计算机系统；负责管理计算机系统中各种独立的硬件，使得它们可以协调工作。    普通","下列关于系统软件说法不正确的是\n（   ）。
",A,系统软件的运行需用户干预,系统软件的功能是调度、监控和维护计算机系统,系统软件管理计算机系统中各种独立的硬件,系统软件提供支持应用软件开发和运行的环境,,,
软件危机开始爆发60年代中期。    普通,"下列关于软件危机的叙述错误的是（    ）。
",A,软件危机开始爆发70年代末期,软件危机泛指在计算机软件的开发和维护过程中所遇到的一系列严重问题,落后的软件生产方式无法满足迅速增长的计算机软件需求导致软件危机,解决软件危机的过程也就形成了软件工程这门学科,,,
通道可以创建Alpha通道。    普通,"下列关于Photoshop中通道的说法正确的是(    )。
",A,通道可以创建Alpha通道,通道不能创建选区,通道不能创建路径,通道没有色彩的概念,,,
在多媒体技术中数字声音的获取有两种方式:\n1、将声音数字化;\n2、利用midi设备输入或计算机软件编写midi音乐。    普通,"在多媒体技术中，数字声音获取方式有(   )两种。
",B,将声音数字化和编制MP3音乐,将声音数字化和编制MIDI音乐,将声音模拟化和编制MP3音乐,将声音模拟化和编制MIDI音乐,,,
多媒体电脑，实际上是一个处理和提供声、图、文等多种信息形式的计算机系统。    普通,"多媒体计算机是指(    )。
",D,有多种外部设备的计算机,能玩游戏的计算机,能与家用电器连接使用的计算机,能处理多种媒体信息的计算机,,,
1280*1024*24/8/1024/1024=3.75MB    普通,一幅分辨率为1280x1024的8:8:8的RGB彩色图像，其存储容量约为( )。,C,3MB,2.6MB,3.75MB,30MB,,,
1、云存储的概念与云计算类似，它是指通过集群应用、网格技术或分布式文件系统等功能，网络中大量各种不同类型的存储设备通过应用软件集合起来协同工作，共同对外提供数据存储和业务访问功能的一个系统，保证数据的安全性，并节约存储空间。2、存储层是云存储最基础的部分；基础管理层是云存储最核心的部分，也是云存储中最难以实现的部分。    普通,"云储存结构模型中最核心的是(   )。
",D,访问层,存储层,应用接口层,基础管理层,,,
数据挖掘是指从大量的数据中通过算法搜索隐藏于其中信息的过程。    普通,"（    ）是指从大量的数据中通过算法搜索隐藏于其中信息的过程，是人工智能和数据库领域研究的热点问题。
",D,云计算,大数据,物联网,数据挖掘,,,
ISDN综合业务数字网不是局域网技术。    普通,"下列网络类型中，不是局域网是（  ）。
",B,FDDI,ISDN,Ethernet,WLAN,,,
OSI原语类型：1、请求(Request)：由服务用户发往服务提供者，请求它完成某项工作。2指示(Indication)：由服务提供者发往服务用户，指示发生了某些事件。3、响应(Response)：由服务用户发往服务提供者，对前面发生的指示的响应4、证实(Confirmation)：由服务提供者发往服务用户，对前面发生的请求的证实。    普通,"用户实体被告知某事件发生，是OSI原语类型中的（   ）。
",C,请求,响应,指示,确认,,,
矢量图形最大的优点是无论放大、缩小或旋转等不会失真；最大的缺点是难以表现色彩层次丰富的逼真图像效果。    普通,"下列对矢量图像描述错误的是(    )。
",C,矢量图可以是一个点或者一个面,矢量图形放大缩小或者旋转的时候不会失真,矢量图形适用于逼真照片或要求精细细节的图像,矢量图的制作软件有CorelDraw．Illustrator等,,,
误码率是衡量数据在规定时间内数据传输精确性的指标。    普通,"下列不是衡量计算机网络的性能指标的是（     ）。
",D,比特率,时延,吞吐量、带宽,误码率,,,
题干分析没有子网划分，是A类地址，那么网络地址就是1字节和3字节的主机地址，默认的子网掩码255.0.0.0，网络地址就是117.0.0.0。    普通,"没有任何子网划分的IP地址117.23.154.56的网络地址是（    ）。
",A,117.0.0.0,117.23.0.0,117.23.154.0,117.23.154.56,,,
1、255.255.255.224=255.255.255.11100000，有三位用来表示子网号(共有000，001，010..111等8个子网号)；\r\n2、192.168.12.29=192.168.12.00011101，此IP处于子网号000段，和此IP在一个网段的IP地址前27位应该是192.168.12.000，最后5位可以是00001--11110（不能全0、全1），即IP范围：192.168.12.000 00001-192.168.12.00011110，应该是192.168.12.1-----192.168.12.30，在结合选项可知答案。    普通,"与192.168.12.29、 子网掩码 255.255.255.224 属于同一网段的主机IP地址是(     )。
",B,192.168.12.0,192.168.12.30,192.168.12.31,192.168.12.32,,,
C类IP地址中网络的标识长度为24位，但前置引导位是110（3位），实际标识长度21位，主机标识的长度为8位。    普通,"在C类IP地址中，除去前置引导位实际用来标记网络地址长度位数是（   )。
",C,7,14,21,24,,,
UDP协议与TCP协议一样用于处理数据包，在OSI模型中，两者都位于传输层。    普通,"用户数据包协议UDP工作在TCP/IP协议的（   ）层。
",B,应用层,传输层,网际层,网络接口层,,,
数据链路层是在通信实体间建立数据链路联接，传输的基本单位为“帧”，并为网络层提供差错控制和流量控制服务。    普通,"在OSI模型中传输单位为“帧”，并为上层提供差错控制和流量控制服务的层是（   ）。
",D,传输层,网络层,物理层,数据链路层,,,
ipconfig /all：显示本机TCP/IP配置的详细信息。    普通,"（  ）是调试计算机网络的常用命令，使用它可显示计算机中网络适配器的IP地址、子网掩码及默认网关。
",B,pathping,ipconfig/all,tracer/all,netstat,,,
不同类型设备连接使用直通线。    普通,"下列关于双绞线说法，错误是（   )。
",B,单段双绞线传播距离可达100米,双绞线两端接相同类型设备时用直通线,实际施工中双绞线两端接线用T568B的多,铜导线两两相绞，可减少信号干扰,,,
树型拓扑：(1)易于扩展。(2)故障隔离较容易。各个节点对根的依赖性太大。    普通,"（   ）拓扑结构易于扩展、故障隔离较容易，但各节点对根依赖性大。
",C,总线,环型,树型,星型,,,
互联网协议分三层，其中IP处于最底层，DNS、POP3处于最顶层(应用层）。    普通,"下列关于Internet的叙述中错误的是（   ）。
",B,因特网是基于TCP/IP协议实现的，TCP/IP协议由很多协议组成，不同类型的协议又被放在不同的层,互联网协议分三层，其中IP、DNS、POP3都处于最底层,只要应用层使用的是HTTP协议，就称为万维网,Internet是一个无中心的网路，是全球计算机互联网络,,,
SATA数据接口是7针、SATA专用电源接口是15针。    普通,"SATA硬盘又称串口硬盘，其电源接口插针个数是（   )。
",C,7,9,15,25,,,
显卡核心就是指显卡的GPU，也就相当于CPU在电脑中的作用，它决定了该显卡的档次和大部分性能。Ramdac中文名是数模转换器，作用是把数字图像数据转换成计算机显示需要的模拟数据。    普通,显卡是计算机中一个重要的组成部分，其核心部件是（ )。,A,GPU,BI0S,显存,RAMDAC,,,
硬件安装没有绝对的步骤（规则），但是要合理性，要考虑硬件体积大小、先内后外以及效率性：②③①⑥⑤④。    普通,"下列是台式计算机硬件组装流程，完成这些过程后才能通电试机，请选择合理的顺序。①主板安装进机箱，连接机箱面板线②安装CPU及风扇、内存③安装机箱电源④连接键鼠、显示器、音响等外设⑤安装硬盘、光驱⑥安装显卡、声卡等接口卡
",B,①②③⑥⑤④,②③①⑥⑤④,③①②④⑥⑤,⑥②⑤③①④,,,
Cache存储器，电脑中为高速缓冲存储器，是位于CPU和主存储器DRAM之间，规模较小，但速度很高的存储器，通常由SRAM（静态存储器）组成。    普通,"Cache的功能是提高CPU数据输入输出的速率，通常由（   ）组成。
",C,DDR3,SDRAM,SRAM,DRAM,,,
1、没有什么最大系统法。2、最小系统法：拔去怀疑有故障的板卡和设备，并根据机器在此前和此后的运行情况对比，判断定位故障所在。拔插板卡和设备的基本要求是保留系统工作的最小配置，以便缩小故障的范围。    普通,"计算机维护中故障解决办法很多，但是不包括(    )。
",D,替换法,观察法,诊断卡法,最大系统法,,,
分析题干和选项应该是“系统硬件冲突”，造成“蓝屏”的原因有很多，硬件冲突是其中之一。    普通,"计算机出现蓝屏故障,可能的原因是（   ）。
",C,电压过低,键盘故障,系统硬件冲突,系统读盘出错,,,
对于CPU而言，影响其性能的指标主要有主频、 CPU的位数、CPU的缓存指令集、CPU核心数和IPC（每周期指令数），选项中全部涉及到。    普通,"以下（  ）与CPU的处理速度密切相关。\r\n①CPU工作频率 ②指令系统 ③Cache容量 ④运算器结构
",D,①,①和②,"②,③和④","①,②,③和④",,,
CPI通常用于衡量计算机性能，CPI取决于计算机组成和指令系统的结构。CPU每执行一条指令所需的时钟周期数。    普通,"计算机技术中使用CPI来表示（   ）。
",D,CPU执行指令的频率,CPU执行指令的平均速度,CPU工作的平均时钟周期数,执行执行一条指令所需的时钟周期数,,,
1、“数据总线DB”用于传送数据信息，通常与微处理的字长相一致；2、数据总线的宽度是决定计算机性能的一个重要指标。    普通,"计算机数据总线的宽度将主要影响到计算机的（   ）。
",C,存储容量,指令数量,运算速度,CPU字的长度,,,
第三代计算机是中小规模集成电路时代。    普通,"计算机发展历程中，第三代计算机的主要特征是(    )。
",C,电子管,晶体管,中、小规模集成电路,大规模和超大规模集成电路,,,
1、基带传输：把方波固有的频带称为基带(由消息直接转换成的未经调制变换的信号所占的频带，理论上基带信号的频谱是从0到无穷大)，方波电信号称为基带信号，是最简单的传输方式，适用于局域网、近距离。\r\n2、频带传输：是先将基带信号变换（调制）成便于在模拟信道中传输的、具有较高频率范围的模拟信号（称为频带信号），再将这种频带信号在模拟信道中传输。计算机网络的远距离通信通常采用的是频带传输。\r\n3、电话线传输的模拟信号，不是基带信号，不过可以频带传输。    普通,"关于数据传输方式，以下说法正确的是\n（   ）。
",C,基带传输适用于远距离数据通信,频带传输一般用于近距离数据通信,基带传输占据整个线路能提供的频率范围,电话线一般传输的是基带信号,,,
